Name,Distance,Mass,Discovery Date,Stellar Magnitude
K2-12 b,1065,5.2 Earths,2015,12.38
K2-130 b,385,2.1 Earths,2017,12.676
K2-131 b,497,7.9 Earths,2017,12.129
K2-132 b,1989,0.49 Jupiters,2017,12.071
K2-133 b,245,2.36 Earths,2017,14.073
K2-133 c,245,3.2 Earths,2017,14.073
K2-133 d,245,4.67 Earths,2017,14.073
K2-133 e,245,3.64 Earths,2019,14.073
K2-136 b,193,4.3 Earths,2017,11.101
K2-136 c,193,18.1 Earths,2017,11.101
K2-136 d,193,3 Earths,2017,11.101
K2-137 b,323,0.5 Jupiters,2017,15.94
K2-138 b,661,3.1 Earths,2017,12.246
K2-138 c,661,6.31 Earths,2017,12.246
K2-138 d,661,7.92 Earths,2017,12.246
K2-138 e,661,12.97 Earths,2017,12.246
K2-138 f,661,1.63 Earths,2017,12.246
K2-138 g,661,4.32 Earths,2021,12.246
K2-139 b,502,0.387 Jupiters,2017,11.652
K2-13 b,1117,4.23 Earths,2015,12.882
K2-140 b,1135,0.93 Jupiters,2017,12.727
K2-141 b,202,4.97 Earths,2018,11.454
K2-141 c,202,8 Earths,2018,11.454
K2-146 b,259,5.77 Earths,2018,16.7
K2-146 c,259,7.49 Earths,2019,16.7
K2-147 b,295,0.315 Earths,2018,14.044
K2-148 b,406,2.33 Earths,2018,13.627
K2-148 c,406,3.64 Earths,2018,13.627
K2-148 d,406,3.33 Earths,2018,13.627
K2-149 b,403,3.33 Earths,2018,14.543
K2-14 b,1188,20.7 Earths,2015,15.78
K2-150 b,334,4.66 Earths,2018,15.784
K2-151 b,227,2.83 Earths,2018,14.175
K2-152 b,354,5.86 Earths,2018,13.728
K2-153 b,467,4.66 Earths,2018,14.96
K2-154 b,422,4.62 Earths,2018,13.861
K2-154 c,422,4.94 Earths,2018,13.861
K2-155 b,237,3.89 Earths,2018,12.773
K2-155 c,237,7.27 Earths,2018,12.773
K2-155 d,237,4.27 Earths,2018,12.773
K2-156 b,490,1.37 Earths,2018,13.4
K2-157 b,973,0.972 Earths,2018,12.942
K2-158 b,644,7.46 Earths,2018,11.774
K2-158 c,644,2.18 Earths,2018,11.774
K2-159 b,558,5.73 Earths,2018,11.995
K2-15 b,1611,6.71 Earths,2015,14.758
K2-160 b,1029,10.2 Earths,2018,12.838
K2-161 b,2989,31.1 Earths,2018,12.718
K2-162 b,406,2.67 Earths,2018,12.278
K2-163 b,680,6.65 Earths,2018,13.078
K2-164 b,1225,10.6 Earths,2018,11.352
K2-165 b,439,2.17 Earths,2018,11.332
K2-165 c,439,3.03 Earths,2018,11.332
K2-165 d,439,7.5 Earths,2018,11.332
K2-166 b,1556,5.43 Earths,2018,12.081
K2-167 b,264,6.5 Earths,2018,8.24
K2-168 b,796,4.12 Earths,2018,12.365
K2-169 b,769,2.16 Earths,2018,12.23
K2-16 b,1093,4.74 Earths,2015,14.668
K2-16 c,1093,6.99 Earths,2015,14.668
K2-170 b,1282,2.6 Earths,2018,12.668
K2-170 c,1282,3.9 Earths,2018,12.668
K2-171 b,1977,7.69 Earths,2018,12.745
K2-172 b,815,3.42 Earths,2018,12.5
K2-172 c,815,10.4 Earths,2018,12.5
K2-173 b,746,3.22 Earths,2018,12.523
K2-174 b,326,7.27 Earths,2018,12.456
K2-175 b,807,4.81 Earths,2018,10.836
K2-176 b,807,2.83 Earths,2018,12.909
K2-177 b,1605,5.13 Earths,2018,12.681
K2-178 b,701,12.4 Earths,2018,12.382
K2-179 b,622,6.86 Earths,2018,12.939
K2-17 b,408,5.6 Earths,2015,13.411
K2-180 b,665,11.44182 Earths,2018,12.557
K2-181 b,1177,8.45 Earths,2018,12.669
K2-182 b,505,20 Earths,2018,11.833
K2-183 b,1073,1.37 Earths,2018,12.867
K2-183 c,1073,5.9 Earths,2018,12.867
K2-183 d,1073,5.9 Earths,2018,12.867
K2-184 b,247,2.76 Earths,2018,10.345
K2-185 b,875,1.6 Earths,2018,12.235
K2-185 c,875,6.3 Earths,2018,12.235
K2-186 b,1079,10.2 Earths,2018,12.413
K2-187 b,1079,1.87 Earths,2018,13.102
K2-187 c,1079,2.54 Earths,2018,13.102
K2-187 d,1079,6.35 Earths,2018,13.102
K2-187 e,1079,4.27 Earths,2018,13.102
K2-188 b,1458,2.39 Earths,2018,12.657
K2-188 c,1458,8.4 Earths,2018,12.657
K2-189 b,790,2.92 Earths,2018,12.398
K2-189 c,790,6.8 Earths,2018,12.398
K2-18 b,124,8.92 Earths,2015,13.477
K2-18 c,124,7.51 Earths,2017,13.477
K2-190 b,524,2.41 Earths,2018,11.138
K2-190 c,524,1.34 Earths,2018,11.138
K2-191 b,937,3.12 Earths,2018,13.329
K2-192 b,723,2.92 Earths,2018,12.656
K2-193 b,1344,14.8 Earths,2018,13.341
K2-194 b,2053,12.9 Earths,2018,12.998
K2-195 b,1028,9.96 Earths,2018,12.524
K2-195 c,1028,7.16 Earths,2018,12.524
K2-196 b,1908,12.6 Earths,2018,12.241
K2-197 b,808,7.08 Earths,2018,12.199
K2-198 b,361,16.3 Earths,2018,10.971
K2-198 c,361,2.61 Earths,2019,10.971
K2-198 d,361,6.52 Earths,2019,10.971
K2-199 b,351,6.9 Earths,2018,12.358
K2-199 c,351,12.4 Earths,2018,12.358
K2-19 b,945,32.4 Earths,2015,13.024
K2-19 c,945,10.8 Earths,2015,13.024
K2-19 d,945,10 Earths,2016,13.024
K2-200 b,601,2.43 Earths,2018,12.428
K2-2016-BLG-0005L b,16962,1.1 Jupiters,2023,
K2-201 b,646,2.54 Earths,2018,12.168
K2-201 c,646,10.8 Earths,2018,12.168
K2-202 b,980,5.91 Earths,2018,13.354
K2-203 b,542,2.45 Earths,2018,12.391
K2-204 b,1883,9.51 Earths,2018,12.985
K2-205 b,1322,4.64 Earths,2018,12.45
K2-206 b,797,8.22 Earths,2018,13.084
K2-207 b,1184,7.3 Earths,2018,13.175
K2-208 b,838,3.46 Earths,2018,12.577
K2-209 b,250,0.586 Earths,2018,11.061
K2-210 b,576,0.566 Earths,2018,11.535
K2-211 b,888,2.24 Earths,2018,13.1547
K2-212 b,356,7.51 Earths,2018,12.977
K2-213 b,1271,2.9 Earths,2018,11.803
K2-214 b,981,6.48 Earths,2018,11.806
K2-215 b,1318,5.16 Earths,2018,12.99
K2-216 b,377,8 Earths,2018,12.403
K2-217 b,1246,12.5 Earths,2018,12.264
K2-218 b,1285,7.13 Earths,2018,12.92
K2-219 b,1061,2.38 Earths,2018,12.09
K2-219 c,1061,2.66 Earths,2018,12.09
K2-219 d,1061,7.16 Earths,2018,12.09
K2-21 b,273,4.04 Earths,2015,12.851
K2-21 c,273,6.76 Earths,2015,12.851
K2-220 b,762,6.3 Earths,2018,11.873
K2-221 b,1040,3.46 Earths,2018,12.571
K2-222 b,331,8.7 Earths,2018,9.543
K2-223 b,648,0.64 Earths,2018,11.443
K2-223 c,648,2.86 Earths,2018,11.443
K2-224 b,898,3.05 Earths,2018,12.7
K2-224 c,898,6.39 Earths,2018,12.7
K2-225 b,1167,12 Earths,2018,11.836
K2-226 b,689,2.99 Earths,2018,12.337
K2-227 b,611,3.41 Earths,2018,12.015
K2-228 b,422,1.92 Earths,2018,13.028
K2-229 b,335,2.49 Earths,2018,10.985
K2-229 c,335,21.3 Earths,2018,10.985
K2-22 b,795,1.4 Jupiters,2015,15.565
K2-230 b,1764,4.5 Earths,2018,12.789
K2-231 b,1048,6.8 Earths,2018,12.768
K2-232 b,426,0.398 Jupiters,2018,9.822
K2-233 b,220,11.26 Earths,2018,10.883
K2-233 c,220,12.81 Earths,2018,10.883
K2-233 d,220,21.14 Earths,2018,10.883
K2-237 b,1028,1.363 Jupiters,2018,11.602
K2-238 b,1755,0.86 Jupiters,2018,13.973
K2-239 b,101,1.37 Earths,2018,14.632
K2-239 c,101,0.972 Earths,2018,14.632
K2-239 d,101,1.37 Earths,2018,14.632
K2-240 b,238,4.66 Earths,2018,13.372
K2-240 c,238,3.89 Earths,2018,13.372
K2-241 b,488,7.04 Earths,2018,11.97
K2-242 b,356,6.99 Earths,2018,16.414
K2-243 b,871,5.35 Earths,2018,10.971
K2-243 c,871,4.7 Earths,2018,10.971
K2-244 b,694,3.71 Earths,2018,11.78
K2-245 b,1488,17.4 Earths,2018,12.755
K2-246 b,2295,12 Earths,2018,14.792
K2-247 b,842,5.14 Earths,2018,14.857
K2-247 c,842,5.43 Earths,2018,14.857
K2-248 b,1325,7.13 Earths,2018,13.497
K2-249 b,1702,8.2 Earths,2018,12.646
K2-24 b,556,19 Earths,2016,11.275
K2-24 c,556,15.4 Earths,2016,11.275
K2-250 b,1353,6.53 Earths,2018,14.314
K2-251 b,480,6.12 Earths,2018,15.66
K2-252 b,746,3.68 Earths,2018,12.93
K2-253 b,2859,Unknown,2018,15.002
K2-254 b,743,3.29 Earths,2018,14.238
K2-254 c,743,5.43 Earths,2018,14.238
K2-255 b,625,8.75 Earths,2018,13.662
K2-256 b,1842,7.41 Earths,2018,14.954
K2-257 b,209,0.498 Earths,2018,13.716
K2-258 b,2159,9.27 Earths,2018,13.361
K2-259 b,1358,5.99 Earths,2018,12.511
K2-25 b,147,24.5 Earths,2015,16.21
K2-260 b,2165,1.42 Jupiters,2018,12.624
K2-261 b,696,0.188 Jupiters,2018,10.612
K2-263 b,530,14.9 Earths,2018,11.568
K2-264 b,605,5.61 Earths,2018,16.701
K2-264 c,605,7.6 Earths,2018,16.701
K2-265 b,452,6.54 Earths,2018,11.187
K2-266 b,253,11.26782 Earths,2018,11.625
K2-266 c,253,0.29013 Earths,2018,11.625
K2-266 d,253,8.9 Earths,2018,11.625
K2-266 e,253,14.3 Earths,2018,11.625
K2-268 b,1069,2.86 Earths,2018,13.848
K2-268 c,1069,7.7 Earths,2018,13.848
K2-268 d,1069,2.83 Earths,2019,13.848
K2-268 e,1069,2.33 Earths,2019,13.848
K2-268 f,1069,5.6 Earths,2019,13.848
K2-269 b,1177,3.09 Earths,2018,11.784
K2-26 b,323,7.61 Earths,2016,14.528
K2-270 b,915,2.48 Earths,2018,13.847
K2-270 c,915,9.01 Earths,2018,13.847
K2-271 b,1841,0.131 Jupiters,2018,13.845
K2-272 b,1380,9.96 Earths,2018,13.872
K2-273 b,1005,9.53 Earths,2018,13.246
K2-274 b,745,4.98 Earths,2018,13.181
K2-275 b,403,6.08 Earths,2018,11.974
K2-275 c,403,5.52 Earths,2018,11.974
K2-276 b,1592,13.7 Earths,2018,14.654
K2-277 b,369,4.94 Earths,2018,10.364
K2-278 b,2565,9.17 Earths,2018,13.446
K2-279 b,597,1.92 Earths,2018,11.491
K2-27 b,814,30.9 Earths,2016,12.689
K2-280 b,1277,37.1 Earths,2018,12.524
K2-281 b,1494,0.16 Jupiters,2018,15.048
K2-282 b,1619,6.8 Earths,2018,14.21
K2-283 b,1314,12.2 Earths,2018,14.364
K2-284 b,350,8.15 Earths,2018,13.265
K2-285 b,505,9.68 Earths,2018,12.075
K2-285 c,505,15.68 Earths,2018,12.075
K2-285 d,505,6.5 Earths,2018,12.075
K2-285 e,505,10.7 Earths,2018,12.075
K2-286 b,248,5.06 Earths,2018,12.881
K2-287 b,516,0.315 Jupiters,2018,11.41
K2-288 B b,214,4.27 Earths,2018,13.868
K2-289 b,895,0.192 Jupiters,2019,14.81
K2-28 b,205,5.99 Earths,2016,16.526
K2-290 b,890,10.9 Earths,2019,11.114
K2-290 c,890,0.774 Jupiters,2019,11.114
K2-291 b,294,6.49 Earths,2019,10.014
K2-292 b,373,24.5 Earths,2019,9.885
K2-293 b,1280,6.57 Earths,2019,13.44
K2-294 b,1217,3.39 Earths,2019,12.649
K2-295 b,759,0.335 Jupiters,2018,13.8941
K2-29 b,582,0.73 Jupiters,2016,12.532
K2-308 b,4288,0.222 Jupiters,2019,15.072
K2-30 b,1086,0.579 Jupiters,2016,13.547
K2-312 c,358,5.41 Jupiters,2023,9.452
K2-315 b,186,0.809 Earths,2020,17.67
K2-316 b,367,2.33 Earths,2020,17.14
K2-316 c,367,4.01 Earths,2020,17.14
K2-317 b,575,8.91 Earths,2020,17.74
K2-318 b,482,3.39 Earths,2020,15.8
K2-319 b,682,8.2 Earths,2020,12.213
K2-31 b,361,1.774 Jupiters,2016,10.802
K2-320 b,355,7.37 Earths,2020,17.81
K2-321 b,253,4.46 Earths,2020,13.677
K2-322 b,403,4.35 Earths,2020,13.963
K2-323 b,386,5.06 Earths,2020,14.935
K2-324 b,446,6.48 Earths,2020,15.223
K2-325 b,364,5.48 Earths,2020,17.77
K2-326 b,921,5.82 Earths,2020,15.982
K2-329 b,761,0.26 Jupiters,2020,12.697
K2-32 b,514,15 Earths,2016,12.304
K2-32 c,514,8.1 Earths,2016,12.304
K2-32 d,514,6.7 Earths,2016,12.304
K2-32 e,514,2.1 Earths,2019,12.304
K2-330 b,522,8.1 Earths,2016,9.608
K2-331 b,690,3.86 Earths,2021,11.305
K2-331 c,690,7.85 Earths,2018,11.305
K2-332 b,402,5.48 Earths,2016,
K2-333 b,1122,31.6 Earths,2018,12.073
K2-334 b,1213,27.2 Earths,2018,11.842
K2-335 b,1820,5.52 Earths,2016,12.556
K2-336 b,781,1.98 Earths,2016,12.803
K2-337 b,1375,7.37 Earths,2016,12.385
K2-338 b,512,1.08 Earths,2016,13.322
K2-339 b,1175,4.35 Earths,2019,14.487
K2-33 b,454,3.7 Jupiters,2016,15.838
K2-340 b,2408,11.2 Earths,2016,14.428
K2-341 b,1375,10.4 Earths,2018,12.725
K2-342 b,680,4.78 Earths,2018,11.338
K2-343 b,542,3.36 Earths,2019,16.01
K2-343 c,542,4.74 Earths,2018,16.01
K2-344 b,245,3.15 Earths,2018,13.423
K2-345 b,530,5.1 Earths,2016,15.72
K2-346 b,344,5.73 Earths,2016,11.903
K2-347 b,1045,6.39 Earths,2016,15.15
K2-348 b,658,10.7 Earths,2018,12.572
K2-348 c,658,7.61 Earths,2018,12.572
K2-349 b,1480,2.48 Earths,2016,14.585
K2-34 b,1137,1.698 Jupiters,2016,11.447
K2-350 b,1596,2.99 Earths,2021,13.449
K2-350 c,1596,7.95 Earths,2016,13.449
K2-351 b,2266,6.99 Earths,2016,14.195
K2-352 b,574,2.45 Earths,2021,11.125
K2-352 c,574,4.35 Earths,2018,11.125
K2-352 d,574,5.6 Earths,2018,11.125
K2-353 b,876,26.3 Earths,2021,12.337
K2-354 b,299,3.05 Earths,2016,15.296
K2-355 b,1633,5.69 Earths,2021,13.707
K2-356 b,1160,5.86 Earths,2021,13.268
K2-357 b,1689,13.4 Earths,2021,13.748
K2-358 b,1567,7.65 Earths,2021,13.699
K2-35 b,824,2.3 Earths,2016,14.166
K2-35 c,824,4.38 Earths,2016,14.166
K2-365 b,611,8.78 Earths,2022,11.372
K2-366 b,607,6.16 Earths,2022,12.636
K2-367 b,577,6.41 Earths,2022,13.794
K2-368 b,674,2.34 Earths,2022,13.581
K2-368 c,674,2.42 Earths,2022,13.581
K2-368 d,674,4.45 Earths,2022,13.581
K2-369 b,605,2.28 Earths,2022,11.789
K2-36 b,358,4.3 Earths,2016,11.726
K2-36 c,358,7.9 Earths,2016,11.726
K2-370 b,470,10.4 Earths,2022,11.109
K2-371 b,1444,Unknown,2022,14.492
K2-372 b,1513,8.98 Earths,2022,13.589
K2-373 b,749,4.9 Earths,2022,10.47
K2-374 b,1172,3.16 Earths,2022,12.783
K2-374 c,1172,5.53 Earths,2022,12.783
K2-375 b,2271,5.66 Earths,2022,13.164
K2-376 b,527,3.66 Earths,2022,10.415
K2-377 b,637,3.51 Earths,2022,14.107
K2-378 b,2244,8.65 Earths,2022,16.029
K2-379 b,594,5.4 Earths,2022,13.265
K2-37 b,587,3.22 Earths,2016,12.573
K2-37 c,587,8 Earths,2016,12.573
K2-37 d,587,7.9 Earths,2016,12.573
K2-380 b,813,7.89 Earths,2022,11.688
K2-381 b,475,1.26 Earths,2022,12.883
K2-381 c,475,4.66 Earths,2022,12.883
K2-381 d,475,3.5 Earths,2022,12.883
K2-382 b,908,4.95 Earths,2022,12.977
K2-383 b,665,3.07 Earths,2022,12.689
K2-384 b,270,1.26 Earths,2022,16.12
K2-384 c,270,1.82 Earths,2022,16.12
K2-384 d,270,2.52 Earths,2022,16.12
K2-384 e,270,2.37 Earths,2022,16.12
K2-384 f,270,5.57 Earths,2022,16.12
K2-385 b,1373,2.98 Earths,2022,14.645
K2-386 b,1399,5.99 Earths,2022,13.241
K2-387 b,869,0.133 Jupiters,2022,16.147
K2-388 b,948,13 Earths,2022,12.861
K2-389 b,846,5.41 Earths,2022,11.827
K2-389 c,846,4.82 Earths,2022,11.827
K2-38 b,629,7.7 Earths,2016,11.344
K2-38 c,629,7.4 Earths,2016,11.344
K2-390 b,1488,19.6 Earths,2022,13.611
K2-391 b,1657,2.45 Earths,2022,12.527
K2-392 b,1328,4.08 Earths,2022,12.922
K2-393 b,867,6.13 Earths,2022,11.84
K2-394 b,320,3.51 Earths,2022,12.768
K2-395 b,935,7.26 Earths,2022,15.131
K2-395 c,935,11.4 Earths,2022,15.131
K2-396 b,897,3.12 Earths,2022,13.32
K2-396 c,897,9.93 Earths,2022,13.32
K2-397 b,650,6.42 Earths,2022,11.865
K2-398 b,1980,5.79 Earths,2022,13.287
K2-398 c,1980,22.8 Earths,2022,13.287
K2-399 b,1682,30.5 Earths,2022,12.478
K2-39 b,1003,28.6047 Earths,2016,10.831
K2-3 b,144,6.47 Earths,2015,12.168
K2-3 c,144,3.3 Earths,2015,12.168
K2-3 d,144,1.6 Earths,2015,12.168
K2-400 b,203,1.67 Earths,2022,15.108
K2-401 b,655,5.74 Earths,2022,14.014
K2-402 b,1706,7.65 Earths,2022,13.032
K2-403 b,804,24.6 Earths,2022,12.305
K2-404 b,397,6.94 Earths,2022,14.622
K2-405 b,643,18.9 Earths,2022,12.816
K2-406 b,278,19.2 Earths,2022,9.465
K2-407 b,712,2.19 Earths,2022,11.969
K2-407 c,712,2.42 Earths,2022,11.969
K2-408 b,529,3.45 Earths,2022,12.056
K2-409 b,1406,6.72 Earths,2022,12.902
K2-411 b,973,0.937 Earths,2022,12.27
K2-412 b,2134,5.13 Earths,2022,15.746
K2-413 b,930,0.363 Earths,2022,15.013
K2-413 c,930,2.05 Earths,2022,15.013
K2-414 b,848,1.98 Earths,2022,14.289
K2-414 c,848,4.38 Earths,2022,14.289
K2-415 b,71,7.5 Earths,2023,15.33
K2-416 b,392,7.56 Earths,2023,14.794
K2-417 b,307,11 Earths,2023,13.909
K2-42 b,1295,5.27 Earths,2016,15.006
K2-43 b,595,18.5 Earths,2016,15.748
K2-43 c,595,6.44 Earths,2019,15.748
K2-44 b,1555,6.5 Earths,2016,12.27
K2-45 b,1616,36.4 Earths,2016,15.746
K2-46 b,1465,4.86 Earths,2016,12.144
K2-47 b,1141,4.23 Earths,2016,14.065
K2-48 b,1023,5.65 Earths,2016,14.345
K2-49 b,1491,4.38 Earths,2016,15.668
K2-4 b,756,5.06 Earths,2015,14.855
K2-50 b,840,3.15 Earths,2016,14.705
K2-52 b,3387,144 Jupiters,2016,15.93
K2-53 b,450,7.27 Earths,2016,12.634
K2-54 b,571,1.6 Earths,2016,14.542
K2-55 b,520,14 Earths,2016,13.519
K2-57 b,862,5.06 Earths,2016,14.414
K2-58 b,593,7.65 Earths,2016,12.415
K2-58 c,593,3.26 Earths,2016,12.415
K2-58 d,593,3.57 Earths,2016,12.415
K2-59 b,1016,6.39 Earths,2016,14.266
K2-59 c,1016,5.9 Earths,2016,14.266
K2-5 b,662,4.31 Earths,2015,14.974
K2-5 c,662,5.73 Earths,2015,14.974
K2-60 b,1604,0.426 Jupiters,2016,12.857
K2-61 b,1323,6.71 Earths,2016,13.173
K2-62 b,367,5.22 Earths,2016,12.391
K2-62 c,367,5.22 Earths,2016,12.391
K2-63 b,1688,10.5 Earths,2016,12.98
K2-63 c,1688,14.5 Earths,2016,12.98
K2-64 b,1631,4.94 Earths,2016,14.132
K2-65 b,236,3.12 Earths,2016,10.71
K2-66 b,1676,21.3 Earths,2016,11.71
K2-68 b,550,3.12 Earths,2016,12.987
K2-69 b,589,5.99 Earths,2016,16.024
K2-6 b,1033,6.8 Earths,2015,12.66
K2-70 b,760,8.7 Earths,2016,13.074
K2-71 b,500,5.27 Earths,2016,16.14
K2-72 b,217,1.28 Earths,2016,15.37
K2-72 c,217,1.65 Earths,2016,15.37
K2-72 d,217,1.01 Earths,2016,15.37
K2-72 e,217,2.21 Earths,2016,15.37
K2-73 b,878,6.57 Earths,2016,11.345
K2-74 b,1232,5.95 Earths,2016,12.715
K2-75 b,1833,7.61 Earths,2016,12.803
K2-75 c,1833,8.1 Earths,2016,12.803
K2-77 b,462,1.9 Jupiters,2016,12.224
K2-79 b,835,9.2 Earths,2016,12.152
K2-7 b,2409,7.61 Earths,2015,13.453
K2-80 b,655,4.7 Earths,2016,12.694
K2-80 c,655,2.76 Earths,2016,12.694
K2-80 d,655,7.04 Earths,2018,12.694
K2-81 b,823,4.54 Earths,2016,14.314
K2-83 b,409,2.08 Earths,2016,14.522
K2-83 c,409,2.8 Earths,2016,14.522
K2-84 b,929,6.39 Earths,2016,13.386
K2-84 c,929,4.78 Earths,2016,13.386
K2-85 b,317,1.87 Earths,2016,12.416
K2-86 b,844,4.5 Earths,2016,13.041
K2-87 b,1602,0.141 Jupiters,2016,14.136
K2-88 b,361,2.04 Earths,2016,15.523
K2-89 b,281,0.17 Earths,2016,14.162
K2-8 b,1316,12.5 Earths,2015,14.801
K2-8 c,1316,6.39 Earths,2016,14.801
K2-90 b,438,7.27 Earths,2016,13.707
K2-90 c,438,2.24 Earths,2016,13.707
K2-91 b,204,1.37 Earths,2016,15.622
K2-95 b,587,11 Earths,2016,17.236
K2-97 b,2865,0.48 Jupiters,2016,12.486
K2-98 b,1692,32.2 Earths,2016,12.216
K2-99 b,1694,0.97 Jupiters,2016,11.149
K2-9 b,271,5.69 Earths,2015,15.86
Kappa Andromedae b,163,13.616 Jupiters,2012,4.13791
Kappa Coronae Borealis b,98,2 Jupiters,2007,4.79734
Kapteyn c,13,7 Earths,2014,8.86
KELT-10 b,615,0.679 Jupiters,2016,10.617
KELT-11 b,323,0.171 Jupiters,2017,8.04
KELT-12 b,1201,0.95 Jupiters,2017,10.585
KELT-14 b,816,1.284 Jupiters,2016,11.001
KELT-15 b,1059,1.31 Jupiters,2016,11.39
KELT-16 b,1450,2.75 Jupiters,2017,11.717
KELT-17 b,739,1.31 Jupiters,2016,9.234
KELT-18 b,1048,1.18 Jupiters,2017,10.16
KELT-19 A b,980,4.07 Jupiters,2017,9.857
KELT-1 b,876,27.23 Jupiters,2012,10.632
KELT-20 b,445,3.382 Jupiters,2017,7.59
KELT-21 b,1536,3.91 Jupiters,2018,10.484
KELT-23 A b,412,0.938 Jupiters,2019,10.308
KELT-24 b,315,5.18 Jupiters,2019,8.34
KELT-2 A b,437,1.7 Jupiters,2012,8.68
KELT-3 b,686,1.94 Jupiters,2013,9.816
KELT-4 A b,711,0.902 Jupiters,2016,9.98
KELT-6 b,785,0.52 Jupiters,2014,10.371
KELT-6 c,785,3.71 Jupiters,2015,10.371
KELT-7 b,446,1.39 Jupiters,2015,8.56
KELT-8 b,644,0.66 Jupiters,2015,10.845
KELT-9 b,667,2.88 Jupiters,2017,7.55
Kepler-1000 b,3639,20.3 Earths,2016,13.23
Kepler-1001 b,3030,10.1 Earths,2016,15.582
Kepler-1001 c,3030,3.11 Earths,2020,15.582
Kepler-1002 b,1332,3.57 Earths,2016,11.821
Kepler-1003 b,3072,3.82 Earths,2016,14.132
Kepler-1004 b,3760,32.5 Earths,2016,13.705
Kepler-1005 b,1852,2.86 Earths,2016,13.371
Kepler-1006 b,3529,2.99 Earths,2016,14.467
Kepler-1007 b,1191,2.67 Earths,2016,14.981
Kepler-1008 b,922,2.18 Earths,2016,13.59
Kepler-1009 b,1158,5.35 Earths,2016,15.758
Kepler-100 b,994,7.34 Earths,2014,11.055
Kepler-100 c,994,7.05 Earths,2014,11.055
Kepler-100 d,994,3 Earths,2014,11.055
Kepler-1010 b,1890,5.99 Earths,2016,14.964
Kepler-1011 b,2403,8.6 Earths,2016,15.294
Kepler-1012 b,1341,2.21 Earths,2016,13.486
Kepler-1013 b,1377,5.27 Earths,2016,14.563
Kepler-1014 b,2038,6.3 Earths,2016,14.866
Kepler-1015 b,2412,12.3 Earths,2016,12.825
Kepler-1016 b,4576,5.39 Earths,2016,15.531
Kepler-1016 c,4576,13.1 Earths,2016,15.531
Kepler-1017 b,1801,4.62 Earths,2016,14.315
Kepler-1018 b,3295,7.18 Earths,2016,15.103
Kepler-1019 b,633,2.73 Earths,2016,13.882
Kepler-101 b,3027,0.16 Jupiters,2014,13.7
Kepler-101 c,3027,3.78 Earths,2014,13.7
Kepler-1020 b,1355,5.82 Earths,2016,14.211
Kepler-1021 b,2642,6.04 Earths,2016,15.207
Kepler-1022 b,1370,6.17 Earths,2016,15.758
Kepler-1023 b,2264,7.41 Earths,2016,14.7121
Kepler-1024 b,3547,14.5 Earths,2016,16.272
Kepler-1025 b,2622,4.58 Earths,2016,13.695
Kepler-1026 b,1146,5.52 Earths,2016,14.463
Kepler-1027 b,1321,0.64 Earths,2016,12.994
Kepler-1028 b,1983,2.33 Earths,2016,14.611
Kepler-1029 b,1196,2.13 Earths,2016,14.434
Kepler-102 b,352,1.1 Earths,2014,12.072
Kepler-102 c,352,1.7 Earths,2014,12.072
Kepler-102 d,352,3 Earths,2014,12.072
Kepler-102 e,352,4.7 Earths,2013,12.072
Kepler-102 f,352,4.3 Earths,2014,12.072
Kepler-1030 b,2475,6.71 Earths,2016,16.003
Kepler-1031 b,2228,0.59 Earths,2016,13.877
Kepler-1032 b,2195,4.16 Earths,2016,16.007
Kepler-1033 b,4748,6.85 Earths,2016,16.186
Kepler-1034 b,2135,5.73 Earths,2016,15.269
Kepler-1035 b,1834,1.71 Earths,2016,13.097
Kepler-1036 b,1597,9.32 Earths,2016,13.87
Kepler-1037 b,1458,2.18 Earths,2016,14.475
Kepler-1038 b,1905,12.2 Earths,2016,15.03
Kepler-1038 c,1905,2.59 Earths,2021,15.03
Kepler-1039 b,1001,2.73 Earths,2016,14.438
Kepler-103 b,1614,9.8 Earths,2014,11.883
Kepler-103 c,1614,38 Earths,2014,11.883
Kepler-1040 b,1573,4.98 Earths,2016,13.614
Kepler-1041 b,4847,8.96 Earths,2016,14.576
Kepler-1042 b,2150,5.43 Earths,2016,16.004
Kepler-1043 b,2947,7.04 Earths,2016,14.949
Kepler-1044 b,4172,7.61 Earths,2016,15.478
Kepler-1045 b,3074,7.7 Earths,2016,15.879
Kepler-1046 b,2354,3.57 Earths,2016,13.347
Kepler-1047 b,2667,5.02 Earths,2016,13.46
Kepler-1047 c,2667,0.937 Earths,2016,13.46
Kepler-1048 b,1814,3.22 Earths,2016,15.138
Kepler-1049 b,528,0.809 Earths,2016,14.695
Kepler-104 b,1307,19.6 Earths,2014,12.697
Kepler-104 c,1307,9.96 Earths,2014,12.697
Kepler-104 d,1307,12.5 Earths,2014,12.697
Kepler-1050 b,1600,3.19 Earths,2016,13.198
Kepler-1050 c,1600,2.79 Earths,2016,13.198
Kepler-1051 b,2705,11.5 Earths,2016,13.212
Kepler-1052 b,3078,8.91 Earths,2016,14.932
Kepler-1052 c,3078,5.9 Earths,2023,14.932
Kepler-1053 b,493,0.904 Earths,2016,13.576
Kepler-1054 b,3557,7.41 Earths,2016,14.143
Kepler-1055 b,1270,2.04 Earths,2016,13.194
Kepler-1056 b,3205,9.32 Earths,2016,14.772
Kepler-1057 b,3920,11.2 Earths,2016,15.825
Kepler-1058 b,1605,7.85 Earths,2016,15.869
Kepler-1059 b,2326,3.64 Earths,2016,15.785
